Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2021-07-08,3200.0,3200.0,3200.0,3200.0,3200.0,0,,,,,,,,,,,,,,,,RNAZ
2021-07-09,4800.0,5600.0,3688.0,4232.0,4232.0,10884,,,,,,,,,,,,,,,,RNAZ
2021-07-12,3848.0,5160.0,3680.0,5160.0,5160.0,18316,,,,,,,,,,,,,,,,RNAZ
2021-07-13,4760.0,5120.0,3520.0,3648.0,3648.0,17881,,,,,,,,,,,,,,,,RNAZ
2021-07-14,3376.0,3552.0,3048.0,3064.0,3064.0,3151,3860.8,,,,,,,,,,,,,,,RNAZ
2021-07-15,2992.0,3136.0,2688.0,2832.0,2832.0,1184,3787.2,,,,,,,,,,,,,,,RNAZ
2021-07-16,2808.0,3024.0,2576.0,2576.0,2576.0,887,3456.0,,,,,,,,,,,,,,,RNAZ
2021-07-19,2552.0,2616.0,2136.0,2368.0,2368.0,1485,2897.6,,,,,,,,,,,,,,,RNAZ
2021-07-20,2368.0,2475.199951171875,2272.0,2312.0,2312.0,684,2630.4,,,,,,,,,,,,,,,RNAZ
2021-07-21,2360.0,2864.0,2360.0,2648.0,2648.0,1929,2547.2,3204.0,,,,,,,,,,,,,,RNAZ
2021-07-22,2576.0,2640.0,2400.0,2472.0,2472.0,521,2475.2,3131.2,,,,,,,,,,,,,,RNAZ
2021-07-23,2464.0,2760.0,2432.0,2712.0,2712.0,657,2502.4,2979.2,,,,,,,,,,,,,,RNAZ
2021-07-26,2616.0,2904.0,2416.0,2496.0,2496.0,1880,2528.0,2712.8,,,,,,,,,,,,,,RNAZ
2021-07-27,2480.0,2536.0,2288.0,2327.199951171875,2327.199951171875,547,2531.039990234375,2580.7199951171874,,,,,,,,,,,,,,RNAZ
2021-07-28,2336.0,2407.199951171875,2264.0,2384.0,2384.0,232,2478.239990234375,2512.7199951171874,,,,,43.20181296052477,,,,,,,,,RNAZ
2021-07-29,2360.0,2424.0,2288.0,2320.0,2320.0,298,2447.839990234375,2461.5199951171876,,,,,42.71131127026461,,,,,,,,,RNAZ
2021-07-30,2288.0,2392.0,2280.0,2328.0,2328.0,206,2371.039990234375,2436.7199951171874,,,,,42.79873691646816,,,,,,,,,RNAZ
2021-08-02,2368.0,2440.0,2304.0,2344.0,2344.0,181,2340.639990234375,2434.3199951171873,,,,,42.986134994027275,,,,,,,9.069412658422216,7.294466919036261,RNAZ
2021-08-03,2360.0,2600.0,2320.0,2536.0,2536.0,401,2382.4,2456.7199951171874,,,,,45.30191634960747,,,,,,,20.374527296870188,12.0011272947945,RNAZ
2021-08-04,2488.0,2664.0,2440.800048828125,2624.0,2624.0,500,2430.4,2454.3199951171873,2829.1599975585937,,,,46.376980699629186,,,,4272.574129193693,2829.1599975585937,1385.7458659234944,36.548073497226035,21.99733781750615,RNAZ
2021-08-05,2536.0,2792.0,2512.0,2656.0,2656.0,426,2497.6,2472.7199951171874,2801.959997558594,,,,46.78655782326069,,,,4236.873726976726,2801.959997558594,1367.0462681404615,54.2210960960961,37.047898963397444,RNAZ
2021-08-06,2648.0,2704.0,2520.0,2544.0,2544.0,232,2540.8,2455.9199951171877,2717.5599975585938,,,,45.47728051132344,,,,3996.148970303243,2717.5599975585938,1438.9710248139445,55.4710960960961,48.74675522980608,RNAZ
2021-08-09,2504.0,2712.0,2496.0,2608.0,2608.0,178,2593.6,2467.1199951171875,2589.959997558594,,,,46.40031811584973,,,,3205.557891261967,2589.959997558594,1974.3621038552205,55.06944444444445,54.92054554554556,RNAZ
2021-08-10,2592.0,2623.199951171875,2512.0,2536.0,2536.0,94,2593.6,2488.0,2534.359997558594,,,,45.467745810048314,,,,2912.8939242363626,2534.359997558594,2155.8260708808252,46.666666666666664,52.40240240240241,RNAZ
2021-08-11,2584.0,2600.0,2416.0,2504.0,2504.0,132,2569.6,2500.0,2506.359997558594,,,,45.03452500218209,,,,2796.58848185884,2506.359997558594,2216.1315132583477,44.583333333333336,48.77314814814816,RNAZ
2021-08-12,2504.0,2504.0,2336.0,2432.0,2432.0,147,2524.8,2511.2,2486.359997558594,,,,44.018262315679344,,,,2736.4203356943995,2486.359997558594,2236.2996594227884,35.416666666666664,42.22222222222223,RNAZ
2021-08-13,2408.0,2440.0,2288.0,2296.0,2296.0,134,2475.2,2508.0,2472.359997558594,,,,42.08632728575115,,,,2731.949081372135,2472.359997558594,2212.770913745053,23.27020202020202,34.423400673400685,RNAZ
