Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1992-02-24,0.0,15.75,15.5,15.5,15.5,28100,,,,,,,,,,,,,,,,STAA
1992-02-25,0.0,15.25,15.0,15.0,15.0,66550,,,,,,,,,,,,,,,,STAA
1992-02-26,0.0,16.0,15.75,15.75,15.75,37100,,,,,,,,,,,,,,,,STAA
1992-02-27,0.0,16.25,15.75,15.75,15.75,26450,,,,,,,,,,,,,,,,STAA
1992-02-28,0.0,15.75,15.25,15.25,15.25,28550,15.45,,,,,,,,,,,,,,,STAA
1992-03-02,17.0,17.0,16.5,16.5,16.5,60000,15.65,,,,,,,,,,,,,,,STAA
1992-03-03,17.5,18.0,15.75,16.25,16.25,112650,15.9,,,,,,,,,,,,,,,STAA
1992-03-04,16.5,16.5,15.5,16.0,16.0,45900,15.95,,,,,,,,,,,,,,,STAA
1992-03-05,16.0,16.0,15.0,15.0,15.0,35900,15.8,,,,,,,,,,,,,,,STAA
1992-03-06,15.0,15.75,14.75,15.25,15.25,26750,15.8,15.625,,,,,,,,,,,,,,STAA
1992-03-09,14.75,15.25,14.5,14.75,14.75,19850,15.45,15.55,,,,,,,,,,,,,,STAA
1992-03-10,14.5,15.25,14.5,15.0,15.0,23050,15.2,15.55,,,,,,,,,,,,,,STAA
1992-03-11,15.0,15.0,14.75,15.0,15.0,21100,15.0,15.475,,,,,,,,,,,,,,STAA
1992-03-12,14.75,15.75,14.75,15.25,15.25,35850,15.05,15.425,,,,,,,,,,,,,,STAA
1992-03-13,15.5,16.25,15.5,15.5,15.5,24600,15.1,15.45,,,,,50.0,,,,,,,,,STAA
1992-03-16,16.0,16.25,15.75,16.25,16.25,15700,15.4,15.425,,,,,55.932203389830505,,,,,,,,,STAA
1992-03-17,16.25,16.75,16.0,16.75,16.75,37800,15.75,15.475,,,,,59.391269523428114,,,,,,,,,STAA
1992-03-18,16.5,16.5,16.0,16.25,16.25,23050,16.0,15.5,,,,,54.762107655162616,,,,,,,54.76190476190475,45.238095238095234,STAA
1992-03-19,16.0,16.25,15.75,15.75,15.75,26550,16.1,15.575,,,,,50.52138662839335,,,,,,,49.99999999999998,50.79365079365078,STAA
1992-03-20,16.25,16.25,15.25,15.75,15.75,30300,16.15,15.625,15.625,,,,50.52138662839334,,,,16.737429773064328,15.625,14.51257022693567,40.47619047619046,48.41269841269838,STAA
1992-03-23,15.25,15.75,13.25,13.75,13.75,115200,15.65,15.525,15.5375,,,,37.16875379253294,,,,16.918396447964152,15.5375,14.156603552035847,28.571428571428555,39.68253968253965,STAA
1992-03-24,13.5,13.75,12.5,13.5,13.5,207650,15.0,15.375,15.4625,,,,35.891781832902744,,,,17.092492331270307,15.4625,13.832507668729692,24.509803921568615,31.185807656395866,STAA
1992-03-25,13.5,15.25,13.25,15.0,15.0,137650,14.75,15.375,15.425,,,,47.53798279950196,,,,17.061306817195327,15.425,13.788693182804675,32.21288515406161,28.431372549019585,STAA
1992-03-26,15.25,15.25,14.5,14.75,14.75,52050,14.55,15.325,15.375,,,,46.036881824433586,,,,17.029539210777415,15.375,13.720460789222583,45.09803921568626,33.940242763772154,STAA
1992-03-27,14.25,15.25,13.75,14.75,14.75,100900,14.35,15.25,15.35,,,,46.036881824433586,,,,17.026305461424005,15.35,13.673694538575996,54.90196078431371,44.07096171802052,STAA
1992-03-30,14.5,14.75,13.75,14.0,14.0,44800,14.4,15.025,15.225,,,,41.47970917597349,,,,16.91245370306861,15.225,13.537546296931389,47.05882352941175,49.01960784313723,STAA
1992-03-31,13.75,14.25,13.75,14.25,14.25,29200,14.55,14.775,15.125,,,,43.487853017202944,,,,16.794580785706408,15.125,13.455419214293594,43.13725490196077,48.366013071895395,STAA
1992-04-01,14.0,14.25,13.5,14.0,14.0,24550,14.35,14.55,15.025,,,,41.938033631479044,,,,16.71245370306861,15.025,13.33754629693139,37.2549019607843,42.48366013071893,STAA
1992-04-02,13.5,14.0,13.5,14.0,14.0,26700,14.2,14.375,14.975,,,,41.938033631479044,,,,16.72070902500961,14.975,13.229290974990386,37.2549019607843,39.215686274509785,STAA
1992-04-03,13.5,13.75,12.5,12.75,12.75,36400,13.8,14.075,14.85,,,,34.75552240476355,,,,16.839974874213247,14.85,12.86002512578675,25.490196078431357,33.333333333333314,STAA
1992-04-06,12.75,13.25,11.5,11.75,11.75,84650,13.35,13.875,14.7,,,,30.286684036992952,,,,17.10624188310321,14.7,12.29375811689679,15.392156862745084,26.04575163398691,STAA
1992-04-07,11.75,11.75,10.75,11.0,11.0,152750,12.7,13.625,14.5,,,,27.437257454442022,,,,17.389636655359983,14.5,11.610363344640017,5.1426024955436604,15.34165181224003,STAA
1992-04-08,11.0,12.25,10.25,12.0,12.0,157100,12.3,13.325,14.35,,,,36.07324179463482,,,,17.425711299845943,14.35,11.274288700154054,12.904040404040392,11.146266587443042,STAA
1992-04-09,12.25,14.0,12.25,13.75,13.75,202450,12.25,13.225,14.275,,,,47.78486947459396,-0.7949640361226766,-0.5107234770846166,-0.28424055903806,17.332368149242086,14.275,11.217631850757916,32.44949494949494,16.832045949692994,STAA
1992-04-10,13.75,14.25,13.25,13.25,13.25,109950,12.35,13.075,14.1625,,,,45.234956315059875,-0.7465252045868151,-0.5578838225850563,-0.18864138200175884,17.196783276162606,14.1625,11.128216723837394,50.93434343434342,32.09595959595958,STAA
1992-04-13,13.5,13.75,13.25,13.5,13.5,58600,12.7,13.025,14.025,,,,46.76459971729079,-0.6801241234167019,-0.5823318827513855,-0.09779224066531644,16.91420404263873,14.025,11.135795957361273,62.878787878787854,48.75420875420874,STAA
1992-04-14,14.0,14.0,13.25,13.25,13.25,77950,13.15,12.925,13.85,,,,45.39901736499958,-0.6402928020051704,-0.5939240666021425,-0.04636873540302788,16.469160170741763,13.85,11.230839829258239,61.66666666666665,58.49326599326597,STAA
1992-04-15,13.5,13.75,12.75,13.0,13.0,36200,13.35,12.825,13.6875,,,,44.014862426881514,-0.6217321621299803,-0.59948568570771,-0.02224647642227029,16.08476406555474,13.6875,11.29023593444526,59.99999999999998,61.515151515151494,STAA
1992-04-16,13.0,13.0,12.25,12.5,12.5,41950,13.1,12.675,13.525,,,,41.30260810930367,-0.6399911233430924,-0.6075867732347865,-0.03240435010830589,15.77722112591104,13.525,11.27277887408896,54.99999999999998,58.888888888888864,STAA
1992-04-20,12.0,12.5,11.75,12.0,12.0,28000,12.85,12.6,13.3375,,,,38.73227866325197,-0.6868892710360672,-0.6234472727950426,-0.06344199824102459,15.43675582052305,13.3375,11.23824417947695,49.583333333333314,54.861111111111086,STAA
1992-04-21,11.75,12.25,11.0,11.5,11.5,42000,12.45,12.575,13.225,,,,36.29953127234804,-0.7556910759688975,-0.6498960334298136,-0.1057950425390839,15.460508890610829,13.225,10.98949110938917,41.66666666666665,48.74999999999998,STAA
1992-04-22,11.0,12.0,11.0,11.5,11.5,44300,12.1,12.625,13.125,,,,36.29953127234804,-0.800983759879589,-0.6801135787197687,-0.12087018115982029,15.478189325150023,13.125,10.771810674849977,35.41666666666665,42.22222222222221,STAA
1992-04-23,12.0,12.0,11.5,11.5,11.5,23250,11.8,12.575,12.95,,,,36.29953127234804,-0.8273414608366316,-0.7095591551431413,-0.11778230569349035,15.239104628451921,12.95,10.660895371548078,31.249999999999982,36.1111111111111,STAA
1992-04-24,11.5,12.0,11.5,12.0,12.0,24650,11.7,12.4,12.8125,,,,40.93316516769478,-0.7986776486424443,-0.7273828538430018,-0.07129479479944245,14.979727491519977,12.8125,10.645272508480023,35.41666666666665,34.02777777777777,STAA
1992-04-27,11.5,12.0,11.5,11.5,11.5,21650,11.6,12.225,12.65,,,,37.95954959071961,-0.8070045462265707,-0.7433071923197156,-0.06369735390685505,14.695727254547865,12.65,10.604272745452135,35.41666666666665,34.02777777777777,STAA
1992-04-28,11.75,12.0,11.0,11.0,11.0,39100,11.5,11.975,12.5,,,,35.20530626692261,-0.8442178757158256,-0.7634893289989376,-0.080728546716888,14.567607312813529,12.5,10.432392687186471,31.249999999999982,34.02777777777777,STAA
1992-04-29,11.75,11.75,11.0,11.75,11.75,46500,11.55,11.825,12.375,,,,42.00301587179828,-0.8039238418317289,-0.7715762315654959,-0.03234761026623301,14.301784886799764,12.375,10.448215113200236,24.35897435897434,30.34188034188033,STAA
1992-04-30,11.75,11.75,11.25,11.5,11.5,20600,11.55,11.675,12.25,,,,40.47857085217052,-0.7831359367449675,-0.7738881726013902,-0.009247764143577308,14.05969610708538,12.25,10.44030389291462,19.070512820512803,24.893162393162385,STAA
1992-05-01,11.75,11.75,11.0,11.5,11.5,18200,11.45,11.575,12.125,,,,40.47857085217053,-0.7579244904605247,-0.7706954361732171,0.012770945712692439,13.771966909200053,12.125,10.478033090799947,18.37606837606836,20.601851851851844,STAA
1992-05-04,11.25,11.75,11.25,11.5,11.5,27450,11.45,11.525,12.0625,13.89,,,40.47857085217053,-0.7295346166996595,-0.7624632722785056,0.03292865557884617,13.704716489991492,12.0625,10.420283510008508,16.239316239316224,17.895299145299138,STAA
1992-05-05,11.75,11.75,11.25,11.75,11.75,15900,11.6,11.55,12.0625,13.815,,,43.059673603658624,-0.6790350333633715,-0.7457776244954788,0.06674259113210734,13.704716489991492,12.0625,10.420283510008508,20.202020202020186,18.272468272468267,STAA
1992-05-06,11.75,11.75,11.25,11.25,11.25,16150,11.5,11.525,12.075,13.74,,,39.38144846619248,-0.6716175816513132,-0.7309456159266456,0.0593280342753324,13.688226580490191,12.075,10.461773419509807,18.813131313131297,18.418155918155914,STAA
1992-05-07,11.5,11.75,11.0,11.0,11.0,35050,11.4,11.475,12.025,13.645,,,37.64970392405556,-0.6780954461885749,-0.7203755819790315,0.04228013579045664,13.705029761641143,12.025,10.344970238358858,13.257575757575742,17.42424242424242,STAA
