Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-04-18,15.25,15.75,14.75,15.375,15.375,1962600,,,,,,,,,,,,,,,,STRM
1996-04-19,16.0,16.0,14.5,14.625,14.625,635700,,,,,,,,,,,,,,,,STRM
1996-04-22,15.0,15.0,14.5,14.5,14.5,247700,,,,,,,,,,,,,,,,STRM
1996-04-23,14.5,14.75,14.5,14.5,14.5,198400,,,,,,,,,,,,,,,,STRM
1996-04-24,14.75,15.0,14.5,14.875,14.875,279900,14.775,,,,,,,,,,,,,,,STRM
1996-04-25,15.0,16.0,14.875,15.75,15.75,221500,14.85,,,,,,,,,,,,,,,STRM
1996-04-26,15.75,18.75,15.625,17.75,17.75,156600,15.475,,,,,,,,,,,,,,,STRM
1996-04-29,17.75,18.75,17.5,18.25,18.25,77300,16.225,,,,,,,,,,,,,,,STRM
1996-04-30,18.375,18.75,18.375,18.375,18.375,73100,17.0,,,,,,,,,,,,,,,STRM
1996-05-01,18.75,18.75,18.375,18.625,18.625,37800,17.75,16.2625,,,,,,,,,,,,,,STRM
1996-05-02,18.375,18.75,18.375,18.5625,18.5625,47800,18.3125,16.58125,,,,,,,,,,,,,,STRM
1996-05-03,18.75,18.75,17.5,17.625,17.625,81000,18.2875,16.88125,,,,,,,,,,,,,,STRM
1996-05-06,17.75,18.0,17.5,18.0,18.0,98400,18.2375,17.23125,,,,,,,,,,,,,,STRM
1996-05-07,18.0,18.0,15.625,17.125,17.125,152100,17.9875,17.49375,,,,,,,,,,,,,,STRM
1996-05-08,17.125,17.125,16.75,16.875,16.875,35600,17.6375,17.69375,,,,,60.00000000000001,,,,,,,,,STRM
1996-05-09,16.75,16.75,16.5,16.5,16.5,9700,17.225,17.76875,,,,,56.934306569343065,,,,,,,,,STRM
1996-05-10,16.625,16.75,16.0,16.75,16.75,178200,17.05,17.66875,,,,,58.458205452247704,,,,,,,,,STRM
1996-05-13,16.75,17.25,16.5,17.125,17.125,137200,16.875,17.55625,,,,,60.70438632213655,,,,,,,53.921568627450974,53.59477124183007,STRM
1996-05-14,17.25,17.25,16.875,17.1875,17.1875,48300,16.8875,17.4375,,,,,61.0820824196885,,,,,,,58.127767235926626,54.67004005903436,STRM
1996-05-15,17.375,17.375,15.75,15.875,15.875,90400,16.6875,17.1625,16.7125,,,,50.17538811683772,,,,19.445801575018752,16.7125,13.979198424981247,43.147375079063885,51.73223698081383,STRM
1996-05-16,16.25,16.5,15.75,16.0,16.0,134000,16.5875,16.90625,16.74375,,,,51.07144803939483,,,,19.429039788831005,16.74375,14.05846021116899,26.55913978494624,42.611427366645586,STRM
1996-05-17,16.5,16.5,16.0,16.0,16.0,19900,16.4375,16.74375,16.8125,,,,51.07144803939482,,,,19.34324840709224,16.8125,14.28175159290776,10.66666666666667,26.791060510225602,STRM
1996-05-20,16.5,16.5,16.0,16.375,16.375,48700,16.2875,16.58125,16.90625,,,,53.95274172327677,,,,19.216722083795844,16.90625,14.595777916204156,16.000000000000004,17.741935483870975,STRM
1996-05-21,16.5,16.5,16.0,16.0,16.0,354200,16.05,16.46875,16.98125,,,,50.73523457634237,,,,19.060199554462542,16.98125,14.902300445537456,16.000000000000004,14.222222222222229,STRM
1996-05-22,16.25,17.5,16.25,17.5,17.5,57500,16.375,16.53125,17.1125,,,,60.804298857332974,,,,18.96173970863704,17.1125,15.26326029136296,32.0,21.33333333333334,STRM
1996-05-23,17.5,17.5,17.25,17.5,17.5,67800,16.675,16.63125,17.2,,,,60.804298857332974,,,,18.945798527894954,17.2,15.454201472105044,50.31578947368421,32.771929824561404,STRM
1996-05-24,17.75,17.75,17.25,17.75,17.75,23600,17.025,16.73125,17.2,,,,62.29394101019743,,,,18.945798527894954,17.2,15.454201472105044,76.14035087719299,52.8187134502924,STRM
1996-05-28,17.75,18.0,17.375,18.0,18.0,64300,17.35,16.81875,17.1875,,,,63.77652173299521,,,,18.906420446094028,17.1875,15.468579553905972,89.47368421052632,71.9766081871345,STRM
1996-05-29,18.0,18.0,17.5,17.5625,17.5625,185600,17.6625,16.85625,17.146875,,,,59.37659705040732,,,,18.788270652333665,17.146875,15.505479347666338,90.00974658869397,85.2079272254711,STRM
1996-05-30,17.5,18.0,17.25,18.0,18.0,64600,17.7625,17.06875,17.115625,,,,62.18604625578165,,,,18.664452681667637,17.115625,15.566797318332364,93.51851851851853,91.0006497725796,STRM
1996-05-31,18.0,18.0,16.75,17.25,17.25,75400,17.7125,17.19375,17.05,,,,55.14526285067532,,,,18.452341791433096,17.05,15.647658208566906,82.40740740740743,88.64522417154,STRM
1996-06-03,17.25,17.25,15.75,16.25,16.25,52700,17.4125,17.21875,16.98125,,,,47.433760195771406,,,,18.398829362857686,16.98125,15.56367063714231,62.96296296296299,79.62962962962966,STRM
1996-06-04,16.25,16.25,15.75,16.25,16.25,36700,17.0625,17.20625,16.89375,,,,47.4337601957714,,,,18.26425401312797,16.89375,15.52324598687203,37.03703703703707,60.802469135802504,STRM
1996-06-05,16.25,16.25,15.75,15.75,15.75,30400,16.7,17.18125,16.825,,,,43.87584444175024,-0.045897148326552895,0.1046015369496654,-0.1504986852762183,18.277691467586962,16.825,15.372308532413037,14.814814814814843,38.271604938271636,STRM
1996-06-06,16.25,16.5,15.75,16.5,16.5,35000,16.4,17.08125,16.80625,,,,49.9413023821427,-0.06363786424718043,0.07095365671029623,-0.13459152095747667,18.265541351992507,16.80625,15.346958648007488,18.518518518518547,23.456790123456823,STRM
1996-06-07,16.5,16.5,15.75,16.375,16.375,14200,16.225,16.96875,16.8,,,,48.990996361082765,-0.08678357769784384,0.03940620982866821,-0.12618978752651205,18.26554170872066,16.8,15.33445829127934,20.3703703703704,17.901234567901266,STRM
1996-06-10,16.375,16.375,15.625,16.125,16.125,23700,16.2,16.80625,16.76875,,,,47.06218232325312,-0.1238717169803003,0.006750624466874501,-0.1306223414471748,18.26358485709958,16.76875,15.273915142900421,27.387914230019522,22.092267706302824,STRM
1996-06-11,15.625,16.25,15.25,15.25,15.25,24600,16.0,16.53125,16.675,,,,40.98073978183123,-0.22131830226449978,-0.03886316087940036,-0.1824551413850994,18.29836456164345,16.675,15.051635438356552,16.27680311890841,21.34502923976611,STRM
1996-06-12,15.5,15.75,15.25,15.75,15.75,91500,16.0,16.35,16.603125,,,,45.32828286966532,-0.25525715623628287,-0.08214195995077686,-0.173115196285506,18.256377003628092,16.603125,14.949872996371903,13.078149920255214,18.914289089727717,STRM
1996-06-13,15.375,15.75,15.375,15.375,15.375,43200,15.775,16.0875,16.578125,,,,42.78282707451586,-0.30885304289524385,-0.12748417653967026,-0.1813688663555736,18.2887877918734,16.578125,14.867462208126602,7.575757575757606,12.310236871640413,STRM
