Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1992-07-01,3.0,4.0,3.0,3.0,2.5165865421295166,600,,,,,,,,,,,,,,,,STRS
1992-07-02,3.0,4.0,3.0,4.0,3.3554489612579346,1850,,,,,,,,,,,,,,,,STRS
1992-07-06,4.5,6.5,4.5,5.625,4.718600273132324,16200,,,,,,,,,,,,,,,,STRS
1992-07-07,6.5,6.5,5.5,6.0,5.033173084259033,19950,,,,,,,,,,,,,,,,STRS
1992-07-08,6.5,6.5,6.0,6.5,5.452604293823242,39750,5.025,,,,,,,,,,,,,,,STRS
1992-07-09,6.5,6.5,5.5,6.5,5.452604293823242,4550,5.725,,,,,,,,,,,,,,,STRS
1992-07-10,6.5,6.5,6.5,6.5,5.452604293823242,1100,6.225,,,,,,,,,,,,,,,STRS
1992-07-13,6.5,6.5,5.5,6.5,5.452604293823242,12450,6.4,,,,,,,,,,,,,,,STRS
1992-07-14,6.0,6.0,6.0,6.0,5.033173084259033,2000,6.4,,,,,,,,,,,,,,,STRS
1992-07-15,6.5,6.5,6.5,6.5,5.452604293823242,850,6.4,5.7125,,,,,,,,,,,,,,STRS
1992-07-16,5.5,6.0,5.5,6.0,5.033173084259033,50150,6.3,6.0125,,,,,,,,,,,,,,STRS
1992-07-17,6.0,6.0,5.5,5.5,4.613742351531982,2250,6.1,6.1625,,,,,,,,,,,,,,STRS
1992-07-20,5.5,6.0,5.25,5.625,4.718600273132324,76950,5.925,6.1625,,,,,,,,,,,,,,STRS
1992-07-21,5.5,5.5,5.5,5.5,4.613742351531982,3100,5.825,6.1125,,,,,,,,,,,,,,STRS
1992-07-22,5.0,5.5,4.5,5.0,4.194311141967773,9850,5.525,5.9625,,,,,66.0,,,,,,,,,STRS
1992-07-23,4.5,4.75,3.75,4.25,3.565164566040039,81400,5.175,5.7375,,,,,58.44686648501363,,,,,,,,,STRS
1992-07-24,4.25,4.25,3.75,3.75,3.14573335647583,53550,4.825,5.4625,,,,,54.00929692039512,,,,,,,,,STRS
1992-07-27,4.25,4.25,3.0,3.375,2.831160068511963,728850,4.375,5.15,,,,,50.888608128026966,,,,,,,9.632034632034634,27.886002886002885,STRS
1992-07-28,3.75,3.75,2.75,3.125,2.6214444637298584,526950,3.9,4.8625,,,,,48.86165576777323,,,,,,,6.904761904761906,13.881673881673882,STRS
1992-07-29,3.25,3.25,2.75,3.0,2.5165865421295166,221600,3.5,4.5125,5.1125,,,,47.83569733353583,,,,7.664337573200928,5.1125,2.5606624267990714,9.126984126984128,8.554593554593554,STRS
1992-07-30,3.25,3.25,2.25,2.625,2.2020134925842285,248400,3.175,4.175,5.09375,,,,44.79680990646725,,,,7.712045008206676,5.09375,2.4754549917933235,8.49673202614379,8.17615935262994,STRS
1992-07-31,2.5,3.0,2.25,2.75,2.306871175765991,168050,2.975,3.9,5.03125,,,,46.02763787744691,,,,7.805996610052889,5.03125,2.256503389947111,9.08496732026144,8.902894491129786,STRS
1992-08-03,3.0,3.0,2.5,2.5,2.0971555709838867,202500,2.8,3.5875,4.875,,,,43.91854453974708,,,,7.843585521759479,4.875,1.9064144782405208,8.823529411764707,8.801742919389978,STRS
1992-08-04,3.0,3.0,2.5,2.75,2.306871175765991,189250,2.725,3.3125,4.7125,,,,46.55585888822739,,,,7.771400946418499,4.7125,1.6535990535815013,10.326797385620916,9.411764705882353,STRS
1992-08-05,3.0,3.25,2.5,3.0,2.5165865421295166,158500,2.725,3.1125,4.5375,,,,49.132013092550736,,,,7.567660886817729,4.5375,1.5073391131822707,13.071895424836603,10.74074074074074,STRS
