Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2021-01-28,875.0,875.0,277.5,402.5,402.5,12172,,,,,,,,,,,,,,,,TIRX
2021-01-29,403.0,403.0,302.0,317.25,317.25,5552,,,,,,,,,,,,,,,,TIRX
2021-02-01,330.5,356.25,300.0,312.5,312.5,2540,,,,,,,,,,,,,,,,TIRX
2021-02-02,316.75,317.5,288.75,302.5,302.5,2984,,,,,,,,,,,,,,,,TIRX
2021-02-03,300.0,367.25,283.25,345.75,345.75,4416,336.1,,,,,,,,,,,,,,,TIRX
2021-02-04,343.5,498.5,326.75,450.5,450.5,14396,345.7,,,,,,,,,,,,,,,TIRX
2021-02-05,459.25,497.95001220703125,459.25,493.25,493.25,2664,380.9,,,,,,,,,,,,,,,TIRX
2021-02-08,523.75,673.25,517.25,625.0,625.0,12652,443.4,,,,,,,,,,,,,,,TIRX
2021-02-09,638.25,787.5,638.25,730.25,730.25,13928,528.95,,,,,,,,,,,,,,,TIRX
2021-02-10,750.0,804.625,640.2999877929688,717.25,717.25,2560,603.25,469.675,,,,,,,,,,,,,,TIRX
2021-02-11,726.75,769.75,652.75,678.5,678.5,1556,648.85,497.275,,,,,,,,,,,,,,TIRX
2021-02-12,650.25,651.75,585.25,632.25,632.25,1596,676.65,528.775,,,,,,,,,,,,,,TIRX
2021-02-16,663.75,822.0,663.75,719.0,719.0,2216,695.45,569.425,,,,,,,,,,,,,,TIRX
2021-02-17,725.0,891.0,725.0,856.25,856.25,16956,720.65,624.8,,,,,,,,,,,,,,TIRX
2021-02-18,900.0,1070.0,856.25,989.0,989.0,2704,775.0,689.125,,,,,79.8473282442748,,,,,,,,,TIRX
2021-02-19,1025.25,1233.5,1025.25,1232.25,1232.25,2708,885.75,767.3,,,,,84.0895042650513,,,,,,,,,TIRX
2021-02-22,1276.25,1442.25,1007.0,1404.5,1404.5,14344,1040.2,858.425,,,,,86.29027962716378,,,,,,,,,TIRX
2021-02-23,1280.25,1625.0,1208.2750244140625,1568.0,1568.0,4956,1210.0,952.725,,,,,87.98863160371093,,,,,,,97.45438470718723,95.84307627684434,TIRX
2021-02-24,1525.0,1525.0,1326.5,1487.75,1487.75,2208,1336.3,1028.475,,,,,82.58118567302868,,,,,,,93.97425823616673,95.6224163057613,TIRX
2021-02-25,1447.0,1742.425048828125,1375.25,1742.25,1742.25,2720,1486.95,1130.975,800.325,,,,85.60298435561646,,,,1687.163036227585,800.325,-86.51303622758508,95.05541702095262,95.49468665476887,TIRX
2021-02-26,1662.5,1800.0,1460.25,1652.25,1652.25,3984,1570.95,1228.35,862.8125,,,,80.2979201977117,,,,1803.2194581170697,862.8125,-77.59445811706973,92.6320706122691,93.8872486231295,TIRX
2021-03-01,1681.25,2049.0,1653.25,1996.25,1996.25,9044,1689.3,1364.75,946.7625,,,,84.30232287810992,,,,1973.2045401927232,946.7625,-79.67954019272315,94.95479270268741,94.21409344530305,TIRX
2021-03-02,1950.5,2444.75,1903.0,2369.25,2369.25,3448,1849.55,1529.775,1049.6,,,,87.3133109645907,,,,2205.2458843434697,1049.6,-106.04588434346988,93.60592957136525,93.73093096210727,TIRX
2021-03-03,2409.75,2596.75,1631.5,1875.25,1875.25,13752,1927.05,1631.675,1128.2375,,,,68.55765018655583,,,,2283.871476168493,1128.2375,-27.39647616849288,85.48908554069828,91.34993593825033,TIRX
2021-03-04,1876.25,2293.0,1576.0,1823.5,1823.5,3944,1943.3,1715.125,1202.125,,,,66.93555305320656,,,,2336.9699618780533,1202.125,67.28003812194675,73.8765174995056,84.32384420385638,TIRX
2021-03-05,1843.75,1843.75,1329.9749755859375,1451.5,1451.5,2624,1903.15,1737.05,1252.175,,,,56.573390327656824,,,,2337.210772451766,1252.175,167.13922754823398,55.48083324299662,71.61547876106684,TIRX
2021-03-08,1451.5,1902.25,1442.5,1535.0,1535.0,3068,1810.9,1750.1,1304.2625,,,,58.1398615865792,,,,2337.3427301249403,1304.2625,271.18226987505955,48.52875480235141,59.295368514951214,TIRX
2021-03-09,1601.25,1708.25,1525.0,1555.25,1555.25,1296,1648.1,1748.825,1350.775,,,,58.53053884689828,,,,2340.1791376,1350.775,361.3708624000003,41.39619977171494,48.46859593902099,TIRX
2021-03-10,1653.75,1696.925048828125,1550.0,1586.0,1586.0,1224,1590.25,1758.65,1393.5625,,,,59.153946813566385,,,,2345.2207221969184,1393.5625,441.90427780308164,39.952234737805604,43.292396437290655,TIRX
2021-03-11,1576.9000244140625,1603.625,1450.0,1531.2249755859375,1531.2249755859375,1476,1531.7949951171875,1737.5474975585937,1434.261248779297,,,,57.49587704158776,,,,2335.004437025446,1434.261248779297,533.5180605331478,36.51900108125378,39.28914519692478,TIRX
2021-03-12,1528.75,1756.75,1462.949951171875,1626.75,1626.75,1804,1566.8449951171874,1734.9974975585938,1481.6737487792968,,,,59.62151062727613,,,,2315.653293723207,1481.6737487792968,647.6942038353867,33.178436726395454,36.54989084848495,TIRX
2021-03-15,1655.25,2187.5,1655.25,2170.25,2170.25,2388,1693.8949951171876,1752.3974975585938,1558.573748779297,,,,69.09238227152998,,,,2347.4912039898063,1558.573748779297,769.6562935687875,43.17947386406385,37.62563722390436,TIRX
2021-03-16,2225.75,2411.0,2001.25,2186.5,2186.5,3556,1820.1449951171876,1734.1224975585938,1631.948748779297,,,,69.32405575222738,,,,2365.9355661693507,1631.948748779297,897.961931389243,54.725908358942206,43.69460631646717,TIRX
2021-03-17,2118.75,2162.5,1995.75,2102.5,2102.5,1180,1923.4449951171875,1756.8474975585937,1694.261248779297,,,,66.54721312036693,409.41950045395356,454.8307268397547,-45.411226385801115,2362.9519423820266,1694.261248779297,1025.5705551765673,65.00738188930586,54.304254704103975,TIRX
2021-03-18,2143.375,2255.0,2054.375,2125.0,2125.0,928,2042.2,1786.9974975585938,1751.0612487792969,,,,66.9293317325337,403.7774984940929,444.6200811706223,-40.84258267652939,2360.8733282477087,1751.0612487792969,1141.249169310885,63.785992685465864,61.173094311237975,TIRX
2021-03-19,2030.0,2136.625,2030.0,2110.75,2110.75,708,2139.0,1852.9224975585937,1794.9862487792968,,,,66.41192865182232,393.6189214771755,434.419849231933,-40.80092775475748,2374.809779644115,1794.9862487792968,1215.1627179144784,61.792742146627745,63.52870557379982,TIRX
2021-03-22,2076.0,2154.97509765625,2018.0,2075.0,2075.0,968,2119.95,1906.9224975585937,1828.511248779297,,,,65.05321741373604,378.3223848231555,423.20035635017746,-44.87797152702194,2391.4368766573816,1828.511248779297,1265.5856209012125,61.069119838798734,62.215951556964114,TIRX
2021-03-23,2109.75,2138.25,2025.75,2063.75,2063.75,808,2095.4,1957.7724975585938,1853.2987487792968,,,,64.60528726289361,361.12911667743424,410.7861084156288,-49.65699173819456,2411.798358236638,1853.2987487792968,1294.799139321956,62.77510140423877,61.87898779655509,TIRX
2021-03-24,2067.75,2124.25,2028.5,2033.75,2033.75,892,2081.65,2002.5474975585937,1880.5987487792968,,,,63.35255272737312,341.1500135242061,396.85888943734426,-55.70887591313817,2417.9329157839684,1880.5987487792968,1343.2645817746252,63.9310029268537,62.59174138996374,TIRX
2021-03-25,2025.75,2300.0,2001.25,2286.75,2286.75,3660,2114.0,2078.1,1907.823748779297,,,,68.84002177634594,341.79145676855205,385.8454029035858,-44.053946135033755,2469.0072277293393,1907.823748779297,1346.6402698292543,73.38371922457743,66.69660785188996,TIRX
