Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2021-11-11,600.0,650.0,450.0,519.0,519.0,26003,,,,,,,,,,,,,,,,TIVC
2021-11-12,502.0,569.0,502.0,550.0,550.0,26850,,,,,,,,,,,,,,,,TIVC
2021-11-15,543.0,577.0,535.0,547.0,547.0,20177,,,,,,,,,,,,,,,,TIVC
2021-11-16,550.0,590.0,550.0,558.0,558.0,11936,,,,,,,,,,,,,,,,TIVC
2021-11-17,544.0,559.0,504.0,517.0,517.0,17894,538.2,,,,,,,,,,,,,,,TIVC
2021-11-18,518.0,557.0,442.0,456.0,456.0,46186,525.6,,,,,,,,,,,,,,,TIVC
2021-11-19,455.0,508.0,422.0,461.0,461.0,24079,507.8,,,,,,,,,,,,,,,TIVC
2021-11-22,442.0,448.0,331.0,370.0,370.0,22223,472.4,,,,,,,,,,,,,,,TIVC
2021-11-23,373.0,424.0,334.0,382.0,382.0,11583,437.2,,,,,,,,,,,,,,,TIVC
2021-11-24,361.0,379.0,343.0,367.0,367.0,3162,407.2,472.7,,,,,,,,,,,,,,TIVC
2021-11-26,348.0,372.0,338.0,349.0,349.0,2213,385.8,455.7,,,,,,,,,,,,,,TIVC
2021-11-29,345.0,380.0,345.0,377.0,377.0,5061,369.0,438.4,,,,,,,,,,,,,,TIVC
2021-11-30,372.0,394.5,333.0,356.0,356.0,10694,366.2,419.3,,,,,,,,,,,,,,TIVC
2021-12-01,366.0,414.0,346.5,355.0,355.0,12563,360.8,399.0,,,,,,,,,,,,,,TIVC
2021-12-02,354.0,415.0,351.0,404.5,404.5,11006,368.3,387.75,,,,,35.225806451612904,,,,,,,,,TIVC
2021-12-03,425.0,454.0,401.0,418.0,418.0,13334,382.1,383.95,,,,,37.56816225007175,,,,,,,,,TIVC
2021-12-06,406.0,449.0,386.0,436.0,436.0,14128,393.9,381.45,,,,,40.64990031130854,,,,,,,,,TIVC
2021-12-07,448.0,492.0,440.0,468.0,468.0,22659,416.3,391.25,,,,,45.77445018218684,,,,,,,44.73966447650658,34.024585431119,TIVC
2021-12-08,481.0,490.0,455.0,470.0,470.0,13010,439.3,400.05,,,,,46.087768854295774,,,,,,,54.04422820584907,44.31792561741327,TIVC
2021-12-09,460.0,509.0,430.0,458.0,458.0,21220,450.0,409.15,440.925,,,,44.42900400286723,,,,578.1949074815743,440.925,303.6550925184257,64.31348622791609,54.36579297009058,TIVC
2021-12-10,454.70001220703125,480.0,432.0,440.0,440.0,6893,454.4,418.25,436.975,,,,41.98783118755067,,,,569.4953663592883,436.975,304.4546336407118,64.69623148056081,61.01798197144199,TIVC
2021-12-13,436.0,465.0,425.0,448.0,448.0,9699,456.8,425.35,431.875,,,,43.474380910961415,,,,554.0510512539182,431.875,309.6989487460818,65.97505958461015,64.99492576436235,TIVC
2021-12-14,444.0,467.5,433.0,459.0,459.0,5311,455.0,435.65,427.475,,,,45.54080262275234,,,,538.5873192989864,427.475,316.3626807010137,66.055924412666,65.57573849261233,TIVC
2021-12-15,451.0,456.0,433.0,447.0,447.0,2502,450.4,444.85,421.925,,,,43.66544224519805,,,,516.2204267183724,421.925,327.6295732816276,67.2348484848485,66.42194416070822,TIVC
2021-12-16,444.0,453.3999938964844,435.0,444.0,444.0,1358,447.6,448.8,418.275,,,,43.18663783465271,,,,502.7021727585379,418.275,333.847827241462,66.47727272727273,66.58934854159575,TIVC
2021-12-17,437.0,454.0,428.0,428.0,428.0,3389,445.2,449.8,416.875,,,,40.62788739321282,,,,499.6662284001147,416.875,334.0837715998853,60.606060606060616,64.7727272727273,TIVC
2021-12-20,430.0,445.0,421.0,437.0,437.0,4653,443.0,449.9,415.675,,,,42.684981605114416,,,,496.54667303821554,415.675,334.8033269617845,57.57925407925409,61.55419580419582,TIVC
2021-12-21,440.0,447.0,421.0,426.0,426.0,6636,436.4,445.7,418.475,,,,40.82326211933738,,,,496.6603406976007,418.475,340.28965930239934,52.3793116166534,56.85487543398938,TIVC
2021-12-22,428.0,443.0,412.0,422.0,422.0,6025,431.4,440.9,420.475,,,,40.137704958491696,,,,496.85135432514386,420.475,344.0986456748562,44.14298493520477,51.367183543704094,TIVC
2021-12-23,416.0,430.0,395.0,401.0,401.0,6275,422.8,435.2,422.175,,,,36.657222067391466,,,,495.1525821742543,422.175,349.19741782574573,29.643923021508716,42.05540652445563,TIVC
2021-12-27,414.0,414.0,375.0,382.0,382.0,3967,413.6,429.4,423.825,,,,33.80134239708055,,,,491.40256654393556,423.825,356.2474334560644,15.562431743720444,29.783113233477977,TIVC
2021-12-28,381.0,402.0,370.0,394.0,394.0,5786,405.0,424.0,424.675,,,,37.13267259095523,,,,490.27399008368985,424.675,359.07600991631017,11.561729866198071,18.92269487714241,TIVC
2021-12-29,390.0,391.0,378.0,385.0,385.0,1485,396.8,416.6,426.125,,,,35.68233946756414,,,,486.67570189518824,426.125,365.57429810481176,11.09381151794984,12.739324375956118,TIVC
2021-12-30,381.0,394.0,379.0,381.0,381.0,1379,388.6,410.0,427.425,,,,35.02751773541076,-13.669450333592351,-5.281470584515729,-8.387979749076623,482.6982077954586,427.425,372.15179220454144,12.685851318944865,11.780464234364258,TIVC
2021-12-31,378.0,397.0,365.0,388.0,388.0,5151,386.0,404.4,426.6,,,,37.199496725209315,-14.329455776690622,-7.091067622950708,-7.238388153739915,483.6802943229966,426.6,369.51970567700346,14.410130432239596,12.729931089711434,TIVC
2022-01-03,387.0,407.0,380.0,405.0,405.0,4910,390.6,402.1,425.95,,,,42.24870678838359,-13.327130060865159,-8.338280110533598,-4.988849950331561,483.6993722909608,425.95,368.20062770903917,23.821138211382134,16.97237332085553,TIVC
2022-01-04,407.0,407.0,396.0,400.0,400.0,1260,391.8,398.4,424.15,,,,41.199507220973636,-12.788816408171499,-9.228387370061178,-3.560429038110321,482.7717536414608,424.15,365.52824635853915,33.308317698561616,23.846528780727784,TIVC
2022-01-05,401.0,406.0,378.0,383.0,383.0,2607,391.4,394.1,419.9,,,,37.76548319744164,-13.577444555967986,-10.09819880724254,-3.4792457487254467,477.50520809788037,419.9,362.2947919021196,32.57021593552152,29.89989061515509,TIVC
2022-01-06,383.0,383.70001220703125,341.0,349.0,349.0,4614,385.0,386.8,413.85,,,,32.017523397655026,-16.752837611296115,-11.429126568053254,-5.323711043242861,474.4743350478992,413.85,353.22566495210083,21.921967860120407,29.266833831401183,TIVC
2022-01-07,349.0,349.0,316.0,321.0,321.0,3384,371.6,378.8,407.0,,,,28.209667990725485,-21.28338387844724,-13.39997803013205,-7.8834058483151885,476.44062211702885,407.0,337.55937788297115,10.373719670650845,21.62196782209759,TIVC
2022-01-10,319.0,319.0,263.0,283.0,283.0,10590,347.2,368.9,399.15,,,,24.032336349567245,-27.621750510791287,-16.244332526263896,-11.37741798452739,485.36432595572586,399.15,312.9356740442741,7.255335042740081,13.183674191170446,TIVC
2022-01-11,286.0,350.0,286.0,311.0,311.0,7579,329.4,360.6,392.3,,,,32.020353698855224,-30.039311256806855,-19.00332827237249,-11.035982984434366,483.5252158122957,392.3,301.0747841877043,13.784341925729265,10.471132213040066,TIVC
2022-01-12,306.0,319.0,295.0,317.0,317.0,7045,316.2,353.8,385.2,,,,33.63083065122532,-31.11245074434828,-21.425152766767646,-9.687297977580634,476.65840584659304,385.2,293.74159415340694,23.290520408458462,14.776732458975937,TIVC
2022-01-13,325.0,328.0,300.0,305.0,305.0,3346,307.4,346.2,378.1,,,,31.998100222139563,-32.55593665915313,-23.651309545244743,-8.90462711390839,471.2963518599304,378.1,284.90364814006966,28.938855181469307,22.004572505219016,TIVC
2022-01-14,300.0,304.0,290.0,297.0,297.0,1407,302.6,337.1,370.75,,,,30.920358160172,-33.954041730192216,-25.711855982234237,-8.24218574795798,465.17642638583743,370.75,276.32357361416257,27.92033666295079,26.716570750959523,TIVC
2022-01-18,311.0,318.0,280.0,290.0,290.0,10382,304.0,325.6,363.85,,,,29.969187716225633,-35.220887108012676,-27.613662207389925,-7.60722490062275,460.6720532730019,363.85,267.02794672699815,23.39189354917833,26.750361797866148,TIVC
2022-01-19,292.0,306.0,276.0,288.0,288.0,7810,299.4,314.4,356.4,,,,29.688182692679682,-35.971596311626854,-29.28524902823731,-6.686347283389544,452.48829273121714,356.4,260.3117072687828,19.90740740740742,23.739879206512185,TIVC
