Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1980-03-17,0.0,292.5,282.5,282.5,242.13890075683594,90,,,,,,,,,,,,,,,,USAU
1980-03-18,0.0,285.0,275.0,275.0,235.71041870117188,210,,,,,,,,,,,,,,,,USAU
1980-03-19,0.0,285.0,275.0,275.0,235.71041870117188,50,,,,,,,,,,,,,,,,USAU
1980-03-20,0.0,292.5,282.5,282.5,242.13890075683594,530,,,,,,,,,,,,,,,,USAU
1980-03-21,0.0,297.5,287.5,287.5,246.424560546875,210,280.5,,,,,,,,,,,,,,,USAU
1980-03-24,0.0,325.0,315.0,315.0,269.9956359863281,360,287.0,,,,,,,,,,,,,,,USAU
1980-03-25,0.0,322.5,312.5,312.5,267.8527526855469,710,294.5,,,,,,,,,,,,,,,USAU
1980-03-26,0.0,327.5,317.5,317.5,272.1383972167969,200,303.0,,,,,,,,,,,,,,,USAU
1980-03-27,0.0,310.0,300.0,300.0,257.138671875,460,306.5,,,,,,,,,,,,,,,USAU
1980-03-28,0.0,325.0,315.0,315.0,269.9956359863281,350,312.0,296.25,,,,,,,,,,,,,,USAU
1980-03-31,0.0,320.0,310.0,310.0,265.70989990234375,110,311.0,299.0,,,,,,,,,,,,,,USAU
1980-04-01,0.0,322.5,312.5,312.5,267.8527526855469,250,311.0,302.75,,,,,,,,,,,,,,USAU
1980-04-02,0.0,330.0,320.0,320.0,274.28131103515625,220,311.5,307.25,,,,,,,,,,,,,,USAU
1980-04-03,0.0,335.0,325.0,325.0,278.56689453125,190,316.5,311.5,,,,,,,,,,,,,,USAU
1980-04-07,0.0,335.0,325.0,325.0,278.56689453125,190,318.5,315.25,,,,,69.76744186046511,,,,,,,,,USAU
1980-04-08,0.0,342.5,332.5,332.5,284.9953918457031,130,323.0,317.0,,,,,71.88019966722129,,,,,,,,,USAU
1980-04-09,0.0,372.5,362.5,362.5,310.709228515625,370,333.0,322.0,,,,,78.38662075750122,,,,,,,,,USAU
1980-04-10,0.0,367.5,357.5,357.5,306.423583984375,300,340.5,326.0,,,,,75.26102024950411,,,,,,,85.47567175018155,85.07625272331154,USAU
1980-04-11,0.0,365.0,355.0,355.0,304.28076171875,210,346.5,331.5,,,,,73.67907881454002,,,,,,,82.36796634362557,84.54870240986985,USAU
1980-04-14,0.0,362.5,352.5,352.5,302.137939453125,30,352.0,335.25,315.75,,,,72.04817639754427,,,,368.52546778570513,315.75,262.97453221429487,76.8762677484787,81.5733019474286,USAU
1980-04-15,0.0,377.5,367.5,367.5,314.9948425292969,240,359.0,341.0,320.0,,,,75.5458007859735,,,,375.02272257894913,320.0,264.97727742105087,78.45754542083797,79.23392650431407,USAU
1980-04-16,0.0,380.0,370.0,370.0,317.1376953125,330,360.5,346.75,324.75,,,,76.0829610340368,,,,379.81586964717803,324.75,269.68413035282197,82.33685576566556,79.22355631166073,USAU
1980-04-17,0.0,377.5,367.5,367.5,314.9948425292969,100,362.5,351.5,329.375,,,,74.32475965342695,,,,382.45218436390536,329.375,276.29781563609464,85.57987711213518,82.12475943287956,USAU
1980-04-18,0.0,382.5,372.5,372.5,319.2804870605469,290,366.0,356.25,333.875,,,,75.54210811253944,,,,385.53434087848973,333.875,282.21565912151027,85.2832512315271,84.39999470310927,USAU
1980-04-21,0.0,370.0,360.0,360.0,308.5664367675781,260,367.5,359.75,337.5,,,,66.99066565219066,,,,385.69232304008597,337.5,289.30767695991403,78.73563218390805,83.19958684252343,USAU
1980-04-22,0.0,375.0,365.0,365.0,312.85205078125,230,367.0,363.0,340.0,,,,68.52547399345887,,,,388.4510061815026,340.0,291.5489938184974,75.35467980295567,79.79118773946361,USAU
1980-04-23,0.0,372.5,362.5,362.5,310.709228515625,200,365.5,363.0,342.5,,,,66.85174620128862,,,,390.1707457462121,342.5,294.8292542537879,68.35817805383023,74.14949668023131,USAU
1980-04-24,362.5,362.5,362.5,362.5,310.709228515625,0,364.5,363.5,344.75,,,,66.85174620128863,,,,391.7313792900975,344.75,297.7686207099025,67.47826086956523,70.39703957545036,USAU
1980-04-25,0.0,367.5,357.5,357.5,306.423583984375,60,361.5,363.75,347.625,,,,63.26738298131942,,,,390.1242646995216,347.625,305.1257353004784,60.1449275362319,65.3271221532091,USAU
1980-04-28,0.0,365.0,355.0,355.0,304.28076171875,50,360.5,364.0,349.625,,,,61.49207743591385,,,,389.4770702097143,349.625,309.7729297902857,41.18357487922706,56.26892109500805,USAU
1980-04-29,0.0,365.0,355.0,355.0,304.28076171875,50,358.5,362.75,351.875,,,,61.49207743591385,,,,387.36707658055525,351.875,316.38292341944475,22.22222222222223,41.183574879227045,USAU
1980-04-30,0.0,362.5,352.5,352.5,302.137939453125,30,356.5,361.0,353.875,,,,59.55398955301312,,,,384.4313004959697,353.875,323.3186995040303,5.555555555555562,22.987117552334936,USAU
1980-05-01,0.0,357.5,347.5,347.5,297.8522644042969,120,353.5,359.0,355.25,,,,55.768207030588165,,,,381.7971279049166,355.25,328.7028720950834,2.777777777777784,10.185185185185178,USAU
