Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1993-08-25,12.75,15.25,12.0,15.0,11.296852111816406,1186400,,,,,,,,,,,,,,,,WINA
1993-08-26,15.25,15.25,13.75,14.5,10.92029094696045,428000,,,,,,,,,,,,,,,,WINA
1993-08-27,14.5,15.25,14.0,14.25,10.732009887695312,203300,,,,,,,,,,,,,,,,WINA
1993-08-30,14.5,15.0,13.75,14.0,10.543731689453125,63100,,,,,,,,,,,,,,,,WINA
1993-08-31,14.25,14.25,13.75,14.0,10.543731689453125,134600,14.35,,,,,,,,,,,,,,,WINA
1993-09-01,14.25,15.75,13.75,15.25,11.485132217407227,173800,14.4,,,,,,,,,,,,,,,WINA
1993-09-02,15.25,15.75,15.0,15.0,11.296852111816406,258600,14.5,,,,,,,,,,,,,,,WINA
1993-09-03,15.5,15.5,15.0,15.0,11.296852111816406,65800,14.65,,,,,,,,,,,,,,,WINA
1993-09-07,15.5,15.5,15.0,15.0,11.296852111816406,102300,14.85,,,,,,,,,,,,,,,WINA
1993-09-08,14.75,15.75,14.75,15.625,11.767556190490723,82300,15.175,14.7625,,,,,,,,,,,,,,WINA
1993-09-09,16.0,16.0,15.5,15.5,11.673415184020996,19800,15.225,14.8125,,,,,,,,,,,,,,WINA
1993-09-10,16.0,17.75,15.5,16.5,12.426536560058594,112300,15.525,15.0125,,,,,,,,,,,,,,WINA
1993-09-13,16.75,16.75,16.25,16.25,12.23825740814209,131900,15.775,15.2125,,,,,,,,,,,,,,WINA
1993-09-14,15.75,16.5,15.75,16.5,12.426536560058594,50400,16.075,15.4625,,,,,,,,,,,,,,WINA
1993-09-15,16.5,17.0,16.0,16.875,12.708956718444824,121200,16.325,15.75,,,,,68.29268292682926,,,,,,,,,WINA
1993-09-16,17.0,17.0,16.5,17.0,12.803099632263184,43900,16.625,15.925,,,,,69.10420475319927,,,,,,,,,WINA
1993-09-17,17.0,17.0,16.5,16.75,12.614818572998047,18400,16.675,16.1,,,,,65.4938024790084,,,,,,,,,WINA
1993-09-20,17.0,17.0,16.5,16.5,12.426536560058594,23900,16.725,16.25,,,,,62.00510545779262,,,,,,,75.0,77.44565217391305,WINA
1993-09-21,16.5,17.0,16.25,16.25,12.23825740814209,104600,16.675,16.375,,,,,58.641150190335566,,,,,,,68.75,73.95833333333333,WINA
1993-09-22,16.75,16.75,16.25,16.75,12.614818572998047,19600,16.65,16.4875,15.625,,,,62.968381710147646,,,,17.585548392669764,15.625,13.664451607330236,65.97222222222223,69.9074074074074,WINA
