Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-01-14,7.5,7.5,7.5,7.5,4.4331536293029785,800,,,,,,,,,,,,,,,,FXNC
1999-01-15,7.5,7.5,7.5,7.5,4.4331536293029785,0,,,,,,,,,,,,,,,,FXNC
1999-01-19,7.5,7.5,7.5,7.5,4.4331536293029785,400,,,,,,,,,,,,,,,,FXNC
1999-01-20,7.5,7.5,7.5,7.5,4.4331536293029785,0,,,,,,,,,,,,,,,,FXNC
1999-01-21,7.5,7.5,7.5,7.5,4.4331536293029785,0,7.5,,,,,,,,,,,,,,,FXNC
1999-01-22,7.5,7.5,7.5,7.5,4.4331536293029785,0,7.5,,,,,,,,,,,,,,,FXNC
1999-01-25,7.5,7.5,7.5,7.5,4.4331536293029785,2000,7.5,,,,,,,,,,,,,,,FXNC
1999-01-26,7.5,7.5,7.5,7.5,4.4331536293029785,0,7.5,,,,,,,,,,,,,,,FXNC
1999-01-27,7.5,7.5,7.5,7.5,4.4331536293029785,0,7.5,,,,,,,,,,,,,,,FXNC
1999-01-28,7.5,7.5,7.5,7.5,4.4331536293029785,0,7.5,7.5,,,,,,,,,,,,,,FXNC
1999-01-29,7.5,7.5,7.4375,7.4375,4.396211624145508,4000,7.4875,7.49375,,,,,,,,,,,,,,FXNC
1999-02-01,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.475,7.4875,,,,,,,,,,,,,,FXNC
1999-02-02,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.4625,7.48125,,,,,,,,,,,,,,FXNC
1999-02-03,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.45,7.475,,,,,,,,,,,,,,FXNC
1999-02-04,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.4375,7.46875,,,,,0.0,,,,,,,,,FXNC
1999-02-05,7.4375,7.4375,7.4375,7.4375,4.396211624145508,1600,7.4375,7.4625,,,,,0.0,,,,,,,,,FXNC
1999-02-08,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.4375,7.45625,,,,,0.0,,,,,,,,,FXNC
1999-02-09,7.25,7.25,7.25,7.25,4.285382270812988,800,7.4,7.43125,,,,,0.0,,,,,,,0.0,0.0,FXNC
1999-02-10,7.25,7.28125,7.25,7.28125,4.3038530349731445,3200,7.36875,7.409375,,,,,12.409471201989856,,,,,,,4.166666666666667,1.388888888888889,FXNC
1999-02-11,7.28125,7.28125,7.28125,7.28125,4.3038530349731445,0,7.3375,7.3875,7.44375,,,,12.409471201989854,,,,7.6001249500399854,7.44375,7.287375049960014,8.333333333333334,4.166666666666667,FXNC
1999-02-12,7.125,7.4375,7.125,7.4375,4.396211624145508,5600,7.3375,7.3875,7.440625,,,,49.06350146573651,,,,7.594862033490619,7.440625,7.2863879665093805,36.111111111111114,16.203703703703706,FXNC
1999-02-16,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.3375,7.3875,7.4375,,,,49.06350146573651,,,,7.589311972518658,7.4375,7.285688027481342,59.72222222222223,34.72222222222223,FXNC
1999-02-17,7.4375,7.4375,7.4375,7.4375,4.396211624145508,0,7.375,7.3875,7.434375,,,,49.06350146573651,,,,7.583460755523392,7.434375,7.285289244476608,83.33333333333334,59.72222222222223,FXNC
1999-02-18,7.4375,7.4375,7.4375,7.4375,4.396211624145508,800,7.40625,7.3875,7.43125,,,,49.063501465736515,,,,7.577291518069337,7.43125,7.285208481930663,83.33333333333334,75.46296296296298,FXNC
1999-02-19,7.375,7.375,7.375,7.375,4.359268665313721,16000,7.425,7.38125,7.425,,,,40.047080648594914,,,,7.569427750103693,7.425,7.280572249896307,82.22222222222223,82.96296296296298,FXNC
