Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2003-10-07,5.75,5.75,5.75,5.75,4.748677730560303,0,,,,,,,,,,,,,,,,LMNR
2003-10-08,5.75,5.75,5.75,5.75,4.748677730560303,0,,,,,,,,,,,,,,,,LMNR
2003-10-09,5.75,5.75,5.75,5.75,4.748677730560303,0,,,,,,,,,,,,,,,,LMNR
2003-10-10,5.75,5.75,5.75,5.75,4.748677730560303,0,,,,,,,,,,,,,,,,LMNR
2003-10-13,5.75,5.75,5.75,5.75,4.748677730560303,0,5.75,,,,,,,,,,,,,,,LMNR
2003-10-14,5.75,5.75,5.75,5.75,4.748677730560303,0,5.75,,,,,,,,,,,,,,,LMNR
2003-10-15,5.75,5.75,5.75,5.75,4.748677730560303,0,5.75,,,,,,,,,,,,,,,LMNR
2003-10-16,5.75,5.75,5.75,5.75,4.748677730560303,2000,5.75,,,,,,,,,,,,,,,LMNR
2003-10-17,5.75,5.75,5.75,5.75,4.748677730560303,2000,5.75,,,,,,,,,,,,,,,LMNR
2003-10-20,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,4.913848400115967,2000,5.789999961853027,5.769999980926514,,,,,,,,,,,,,,LMNR
2003-10-21,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,4.913848400115967,0,5.829999923706055,5.789999961853027,,,,,,,,,,,,,,LMNR
2003-10-22,6.0,6.0,6.0,6.0,4.955141544342041,1000,5.8799999237060545,5.814999961853028,,,,,,,,,,,,,,LMNR
2003-10-23,6.0,6.0,6.0,6.0,4.955141544342041,0,5.929999923706054,5.839999961853027,,,,,,,,,,,,,,LMNR
2003-10-24,6.0,6.0,6.0,6.0,4.955141544342041,0,5.979999923706055,5.8649999618530275,,,,,,,,,,,,,,LMNR
2003-10-27,6.0,6.0,6.0,6.0,4.955141544342041,0,5.9899999618530275,5.889999961853027,,,,,100.0,,,,,,,,,LMNR
2003-10-28,6.0,6.0,6.0,6.0,4.955141544342041,0,6.0,5.914999961853027,,,,,100.0,,,,,,,,,LMNR
2003-10-29,6.0,6.0,6.0,6.0,4.955141544342041,0,6.0,5.939999961853028,,,,,100.0,,,,,,,,,LMNR
2003-10-30,6.0,6.0,6.0,6.0,4.955141544342041,0,6.0,5.964999961853027,,,,,100.0,,,,,,,100.0,100.0,LMNR
2003-10-31,6.0,6.0,6.0,6.0,4.955141544342041,0,6.0,5.9899999618530275,,,,,100.0,,,,,,,100.0,100.0,LMNR
2003-11-03,6.0,6.0,6.0,6.0,4.955141544342041,0,6.0,5.994999980926513,5.8824999809265135,,,,100.0,,,,6.123902113684951,5.8824999809265135,5.641097848168076,100.0,100.0,LMNR
