Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2000-04-07,8.75,11.0,8.75,9.5,9.5,3106600,,,,,,,,,,,,,,,,LPSN
2000-04-10,10.375,10.6875,9.0,9.125,9.125,805800,,,,,,,,,,,,,,,,LPSN
2000-04-11,8.6875,8.875,8.0,8.25,8.25,382500,,,,,,,,,,,,,,,,LPSN
2000-04-12,8.5,8.625,7.875,8.0625,8.0625,141800,,,,,,,,,,,,,,,,LPSN
2000-04-13,8.0,8.25,8.0,8.0,8.0,107300,8.5875,,,,,,,,,,,,,,,LPSN
2000-04-14,8.0,8.1875,8.0,8.015625,8.015625,267300,8.290625,,,,,,,,,,,,,,,LPSN
2000-04-17,8.0,8.03125,7.875,8.0,8.0,243700,8.065625,,,,,,,,,,,,,,,LPSN
2000-04-18,8.0,8.125,8.0,8.0625,8.0625,187200,8.028125,,,,,,,,,,,,,,,LPSN
2000-04-19,8.0,8.25,8.0,8.125,8.125,96400,8.040625,,,,,,,,,,,,,,,LPSN
2000-04-20,8.25,8.25,8.0,8.125,8.125,49400,8.065625,8.3265625,,,,,,,,,,,,,,LPSN
2000-04-24,8.0,8.125,7.9375,8.015625,8.015625,58400,8.065625,8.178125,,,,,,,,,,,,,,LPSN
2000-04-25,8.25,8.25,7.875,8.0,8.0,28400,8.065625,8.065625,,,,,,,,,,,,,,LPSN
2000-04-26,8.0,8.125,5.375,6.0,6.0,78800,7.653125,7.840625,,,,,,,,,,,,,,LPSN
2000-04-27,6.125,6.5,5.875,6.125,6.125,74100,7.253125,7.646875,,,,,,,,,,,,,,LPSN
2000-04-28,6.5,6.625,5.5,6.25,6.25,593900,6.878125,7.471875,,,,,9.689922480620156,,,,,,,,,LPSN
2000-05-01,6.5,6.875,6.25,6.25,6.25,176300,6.525,7.2953125,,,,,9.689922480620156,,,,,,,,,LPSN
2000-05-02,6.28125,6.875,6.125,6.875,6.875,128800,6.3,7.1828125,,,,,23.45359822712958,,,,,,,,,LPSN
2000-05-03,7.4375,8.125,7.4375,7.75,7.75,289400,6.65,7.1515625,,,,,37.75598545737528,,,,,,,51.25418060200669,32.91009975153198,LPSN
2000-05-04,7.75,8.25,7.5,8.125,8.125,108200,7.05,7.1515625,,,,,42.69755385930322,,,,,,,74.80490523968784,51.75574354602488,LPSN
2000-05-05,8.125,8.125,7.75,7.75,7.75,116300,7.35,7.1140625,7.7203125,,,,39.334559134417034,,,,9.56963934121141,7.7203125,5.870985658788591,86.95652173913042,71.00520252694166,LPSN
2000-05-08,8.0,8.0,7.5,7.75,7.75,14300,7.65,7.0875,7.6328125,,,,39.334559134417034,,,,9.292964154405404,7.6328125,5.972660845594596,86.95652173913042,82.9059829059829,LPSN
2000-05-09,7.84375,8.0625,7.625,7.9375,7.9375,17700,7.8625,7.08125,7.5734375,,,,41.98432739509766,,,,9.095030132942535,7.5734375,6.051844867057464,84.78260869565216,86.231884057971,LPSN
2000-05-10,8.0625,8.0625,7.375,7.375,7.375,39500,7.7875,7.21875,7.5296875,,,,36.79237924205572,,,,9.020967492363944,7.5296875,6.038407507636054,80.43478260869564,84.05797101449274,LPSN
2000-05-11,7.5,7.75,7.5,7.5625,7.5625,30100,7.675,7.3625,7.5046875,,,,39.47903734591328,,,,8.976031618697254,7.5046875,6.033343381302746,78.26086956521738,81.15942028985505,LPSN
2000-05-12,7.625,7.75,6.875,7.25,7.25,13300,7.575,7.4625,7.4671875,,,,36.680616548334655,,,,8.924285563146412,7.4671875,6.010089436853588,70.28985507246375,76.32850241545891,LPSN
2000-05-15,7.0,7.5,6.0,6.875,6.875,72700,7.4,7.525,7.41015625,,,,33.60250698034907,,,,8.866214277850792,7.41015625,5.954098222149208,64.49275362318839,71.01449275362314,LPSN
2000-05-16,7.5,8.0625,6.875,8.0,8.0,106000,7.4125,7.6375,7.41015625,,,,47.764365732350605,,,,8.866214277850792,7.41015625,5.954098222149208,69.43346508563899,68.07202459376369,LPSN
