Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2000-08-04,51.0,59.25,45.375,48.0,48.0,902600,,,,,,,,,,,,,,,,LTRX
2000-08-07,48.75,50.625,47.8125,48.75,48.75,106733,,,,,,,,,,,,,,,,LTRX
2000-08-08,49.3125,49.3125,47.4375,48.75,48.75,129633,,,,,,,,,,,,,,,,LTRX
2000-08-09,48.75,49.5,47.4375,48.0,48.0,125683,,,,,,,,,,,,,,,,LTRX
2000-08-10,48.1875,49.125,47.625,49.125,49.125,96017,48.525,,,,,,,,,,,,,,,LTRX
2000-08-11,49.5,49.5,47.625,48.0,48.0,45783,48.525,,,,,,,,,,,,,,,LTRX
2000-08-14,48.0,48.375,48.0,48.0,48.0,6050,48.375,,,,,,,,,,,,,,,LTRX
2000-08-15,48.0,48.9375,47.625,48.0,48.0,26183,48.225,,,,,,,,,,,,,,,LTRX
2000-08-16,48.1875,48.375,43.875,47.25,47.25,12917,48.075,,,,,,,,,,,,,,,LTRX
2000-08-17,45.5625,45.75,39.375,40.5,40.5,221433,46.35,47.4375,,,,,,,,,,,,,,LTRX
2000-08-18,43.3125,44.25,41.25,41.25,41.25,7967,45.0,46.7625,,,,,,,,,,,,,,LTRX
2000-08-21,41.625,46.125,40.125,46.125,46.125,11233,44.625,46.5,,,,,,,,,,,,,,LTRX
2000-08-22,47.0625,53.25,45.0,51.75,51.75,41583,45.375,46.8,,,,,,,,,,,,,,LTRX
2000-08-23,51.9375,53.625,51.375,52.5,52.5,15017,46.425,47.25,,,,,,,,,,,,,,LTRX
2000-08-24,53.0625,61.5,52.875,61.125,61.125,41683,50.55,48.45,,,,,70.58823529411764,,,,,,,,,LTRX
2000-08-25,61.5,61.5,57.375,60.0,60.0,15283,54.3,49.65,,,,,68.00348735832607,,,,,,,,,LTRX
2000-08-28,59.4375,60.75,58.875,58.875,58.875,30267,56.85,50.7375,,,,,65.42357571456223,,,,,,,,,LTRX
2000-08-29,60.9375,64.5,58.875,63.75,63.75,32850,59.25,52.3125,,,,,70.62434906539495,,,,,,,92.79028585884139,90.62167045594965,LTRX
2000-08-30,67.875,74.25,63.0,63.375,63.375,159650,61.425,53.925,,,,,69.75517726670304,,,,,,,84.65590763151619,90.22217749113615,LTRX
2000-08-31,64.875,64.875,60.0,61.125,61.125,42650,61.425,55.9875,51.7125,,,,64.61672808450069,,,,65.5558422626185,51.7125,37.8691577373815,76.06590702401968,84.50403350479242,LTRX
2000-09-01,60.375,62.25,57.75,60.75,60.75,25567,61.575,57.9375,52.35,,,,63.77353019620868,,,,66.61854057007932,52.35,38.081459429920685,64.15770609318996,74.95984024957528,LTRX
2000-09-05,62.625,63.75,61.125,63.0,63.0,70750,62.4,59.625,53.0625,,,,66.59054944135757,,,,67.95051951234619,53.0625,38.17448048765382,63.79928315412186,68.00763209044383,LTRX
2000-09-06,63.0,66.0,61.5,62.25,62.25,29517,62.1,60.675,53.7375,,,,64.78219771588468,,,,69.00161232269996,53.7375,38.47338767730003,64.87455197132616,64.27718040621266,LTRX
2000-09-07,64.6875,66.0,61.875,64.5,64.5,37817,62.325,61.875,54.5625,,,,67.62283067182243,,,,70.2740602344261,54.5625,38.8509397655739,68.25396825396825,65.64260112647209,LTRX
2000-09-08,64.875,65.25,61.5,61.875,61.875,19733,62.475,61.95,55.2,,,,61.40045883861433,,,,71.01166499771605,55.2,39.38833500228395,66.91874433809917,66.68242152113119,LTRX
2000-09-11,61.875,62.625,60.0,61.5,61.5,38783,62.625,62.1,55.875,,,,60.54338944262203,,,,71.55161474936475,55.875,40.198385250635255,63.85836385836385,66.34369215014375,LTRX
2000-09-12,61.125,61.5,59.25,59.625,59.625,14167,61.95,62.175,56.45625,,,,56.31093948485009,,,,71.77989900244069,56.45625,41.13260099755931,52.070697972337314,60.949268722933446,LTRX
2000-09-13,59.25,61.5,59.25,60.375,60.375,8867,61.575,61.8375,57.075,,,,57.588134318907095,,,,71.97642610624897,57.075,42.17357389375105,42.52118315966461,52.816748330121925,LTRX
2000-09-14,60.75,61.5,60.0,60.375,60.375,24267,60.75,61.5375,57.73125,,,,57.588134318907095,,,,71.98613403144687,57.73125,43.47636596855314,29.64369028217173,41.41185713805789,LTRX
2000-09-15,60.375,62.25,60.0,60.0,60.0,39250,60.375,61.425,58.70625,,,,56.62816727275061,,,,70.58250651247069,58.70625,46.829993487529315,22.167286904129003,31.444053448655115,LTRX
2000-09-18,60.0,60.75,48.75,51.0,51.0,58067,58.275,60.45,59.19375,,,,39.57678056421707,,,,68.73460786237268,59.19375,49.65289213762731,13.412556941968703,21.741178042756484,LTRX
