Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1993-08-06,4.375,4.375,3.75,3.8125,3.476047992706299,2800000,,,,,,,,,,,,,,,,MCRI
1993-08-09,3.875,3.875,3.625,3.625,3.3050944805145264,502200,,,,,,,,,,,,,,,,MCRI
1993-08-10,3.75,3.75,3.5,3.6875,3.36207914352417,73400,,,,,,,,,,,,,,,,MCRI
1993-08-11,3.75,3.875,3.625,3.75,3.4190633296966553,352600,,,,,,,,,,,,,,,,MCRI
1993-08-12,3.875,3.875,3.75,3.75,3.4190633296966553,115200,3.725,,,,,,,,,,,,,,,MCRI
1993-08-13,3.875,3.875,3.75,3.875,3.533032178878784,68600,3.7375,,,,,,,,,,,,,,,MCRI
1993-08-16,3.875,3.875,3.75,3.75,3.4190633296966553,53000,3.7625,,,,,,,,,,,,,,,MCRI
1993-08-17,3.875,3.875,3.625,3.75,3.4190633296966553,132800,3.775,,,,,,,,,,,,,,,MCRI
1993-08-18,3.625,3.875,3.625,3.875,3.533032178878784,21000,3.8,,,,,,,,,,,,,,,MCRI
1993-08-19,3.625,3.875,3.625,3.875,3.533032178878784,11400,3.825,3.775,,,,,,,,,,,,,,MCRI
1993-08-20,3.625,3.875,3.625,3.875,3.533032178878784,3000,3.825,3.78125,,,,,,,,,,,,,,MCRI
1993-08-23,3.625,3.875,3.625,3.625,3.3050944805145264,1400,3.8,3.78125,,,,,,,,,,,,,,MCRI
1993-08-24,3.6875,3.875,3.625,3.75,3.4190633296966553,971000,3.8,3.7875,,,,,,,,,,,,,,MCRI
1993-08-25,3.875,3.875,3.75,3.75,3.4190633296966553,132800,3.775,3.7875,,,,,,,,,,,,,,MCRI
1993-08-26,3.75,3.875,3.75,3.75,3.4190633296966553,77200,3.75,3.7875,,,,,47.05882352941176,,,,,,,,,MCRI
1993-08-27,3.75,3.875,3.75,3.8125,3.476047992706299,75000,3.7375,3.78125,,,,,50.21276595744679,,,,,,,,,MCRI
1993-08-30,3.8125,3.8125,3.75,3.8125,3.476047992706299,32400,3.775,3.7875,,,,,50.21276595744679,,,,,,,,,MCRI
1993-08-31,3.8125,3.8125,3.75,3.75,3.4190633296966553,70200,3.775,3.7875,,,,,46.96766292187757,,,,,,,69.44444444444444,67.98941798941799,MCRI
1993-09-01,3.75,3.8125,3.75,3.8125,3.476047992706299,12000,3.7875,3.78125,,,,,50.41845717102286,,,,,,,66.66666666666666,70.37037037037037,MCRI
1993-09-02,3.75,3.8125,3.6875,3.6875,3.36207914352417,42200,3.775,3.7625,3.76875,,,,44.2208998280923,,,,3.91717927608799,3.76875,3.6203207239120094,49.99999999999999,62.03703703703704,MCRI
1993-09-03,3.625,3.8125,3.625,3.8125,3.476047992706299,13400,3.775,3.75625,3.76875,,,,50.74162326880776,,,,3.91717927608799,3.76875,3.6203207239120094,58.33333333333332,58.333333333333336,MCRI
1993-09-07,3.8125,3.8125,3.75,3.8125,3.476047992706299,3600,3.775,3.775,3.778125,,,,50.741623268807764,,,,3.912026783035154,3.778125,3.6442232169648463,58.33333333333332,55.55555555555555,MCRI
1993-09-08,3.8125,3.8125,3.5,3.625,3.3050944805145264,17600,3.75,3.7625,3.775,,,,42.1663016995038,,,,3.9196979612848857,3.775,3.630302038715114,61.11111111111111,59.25925925925926,MCRI
1993-09-09,3.5,3.625,3.5,3.5,3.1911258697509766,13000,3.6875,3.7375,3.7625,,,,37.60372338606511,,,,3.9504162047296516,3.7625,3.5745837952703488,36.11111111111111,51.851851851851855,MCRI
1993-09-10,3.625,3.625,3.625,3.625,3.3050944805145264,1000,3.675,3.725,3.75625,,,,44.11578711233522,,,,3.953496672975735,3.75625,3.559003327024265,22.222222222222218,39.814814814814824,MCRI
1993-09-13,3.75,3.75,3.625,3.625,3.3050944805145264,29400,3.6375,3.70625,3.74375,,,,44.11578711233521,,,,3.940996672975753,3.74375,3.5465033270242468,22.222222222222218,26.851851851851862,MCRI
1993-09-14,3.8125,3.8125,3.625,3.625,3.3050944805145264,31800,3.6,3.6875,3.7375,,,,44.11578711233521,,,,3.941368830378763,3.7375,3.533631169621237,33.333333333333336,25.925925925925938,MCRI
1993-09-15,3.8125,3.8125,3.625,3.75,3.4190633296966553,800,3.625,3.6875,3.7375,,,,50.56029668557589,,,,3.941368830378763,3.7375,3.533631169621237,44.444444444444436,33.33333333333334,MCRI
1993-09-16,3.625,3.875,3.625,3.625,3.3050944805145264,2800,3.65,3.66875,3.725,,,,44.974881678161566,,,,3.9242172181313464,3.725,3.525782781868654,44.444444444444436,40.740740740740755,MCRI
1993-09-17,3.875,3.875,3.625,3.75,3.4190633296966553,19800,3.675,3.675,3.71875,,,,50.82512322282461,,,,3.90625,3.71875,3.53125,55.55555555555554,48.14814814814815,MCRI
1993-09-20,3.625,3.875,3.625,3.875,3.533032178878784,5800,3.725,3.68125,3.71875,,,,55.87710207984149,,,,3.90625,3.71875,3.53125,66.66666666666664,55.555555555555564,MCRI
1993-09-21,3.625,3.625,3.625,3.625,3.3050944805145264,2800,3.725,3.6625,3.71875,,,,45.75307666844322,,,,3.90625,3.71875,3.53125,66.66666666666664,62.96296296296297,MCRI
1993-09-22,3.8125,3.8125,3.5,3.625,3.3050944805145264,73400,3.7,3.6625,3.7125,,,,45.75307666844322,,,,3.903713231759735,3.7125,3.5212867682402647,55.555555555555536,62.96296296296297,MCRI
1993-09-23,3.625,3.625,3.4375,3.4375,3.134141683578491,18000,3.6625,3.65625,3.696875,,,,39.52415863581469,-0.04238170230546645,-0.02571128161306661,-0.01667042069239984,3.9214405527902696,3.696875,3.4723094472097302,22.2222222222222,48.14814814814815,MCRI
1993-09-24,3.625,3.625,3.375,3.625,3.3050944805145264,9200,3.6375,3.65625,3.690625,,,,47.25704229316802,-0.04211466271030595,-0.02899195783251448,-0.01312270487779147,3.915885266136765,3.690625,3.4653647338632347,27.777777777777754,35.18518518518519,MCRI
1993-09-27,3.625,3.625,3.4375,3.4375,3.134141683578491,6200,3.55,3.6375,3.671875,,,,41.537230059061045,-0.05638276943534759,-0.0344701201530811,-0.021912649282266487,3.9151437557003543,3.671875,3.4286062442996457,20.833333333333307,23.611111111111114,MCRI
