Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-07-19,6.25,6.75,6.0,6.1875,5.689937591552734,5494400,,,,,,,,,,,,,,,,PEGA
1996-07-22,6.3125,6.3125,5.96875,6.0,5.517515182495117,1142400,,,,,,,,,,,,,,,,PEGA
1996-07-23,6.0,6.125,5.25,5.25,4.827826023101807,1391800,,,,,,,,,,,,,,,,PEGA
1996-07-24,5.125,5.125,5.0,5.0,4.597930431365967,201800,,,,,,,,,,,,,,,,PEGA
1996-07-25,5.0625,5.75,5.0625,5.5625,5.115196704864502,491400,5.6,,,,,,,,,,,,,,,PEGA
1996-07-26,5.875,6.125,5.75,6.0,5.517515182495117,324400,5.5625,,,,,,,,,,,,,,,PEGA
1996-07-29,6.125,6.1875,6.0,6.125,5.632464408874512,164800,5.5875,,,,,,,,,,,,,,,PEGA
1996-07-30,6.0,6.1875,6.0,6.0,5.517515182495117,90400,5.7375,,,,,,,,,,,,,,,PEGA
1996-07-31,6.125,6.125,5.9375,6.0625,5.574990272521973,267400,5.95,,,,,,,,,,,,,,,PEGA
1996-08-01,6.0625,6.0625,5.8125,6.0625,5.574990272521973,161600,6.05,5.825,,,,,,,,,,,,,,PEGA
1996-08-02,5.9375,6.625,5.9375,6.5,5.977310657501221,211000,6.15,5.85625,,,,,,,,,,,,,,PEGA
1996-08-05,6.375,6.4375,6.125,6.1875,5.689937591552734,135800,6.1625,5.875,,,,,,,,,,,,,,PEGA
1996-08-06,6.125,6.375,6.125,6.375,5.862360000610352,212200,6.2375,5.9875,,,,,,,,,,,,,,PEGA
1996-08-07,6.375,6.9375,6.3125,6.9375,6.3796281814575195,561400,6.4125,6.18125,,,,,,,,,,,,,,PEGA
1996-08-08,7.125,9.1875,7.0,9.1875,8.448700904846191,965400,7.0375,6.54375,,,,,74.0,,,,,,,,,PEGA
1996-08-09,9.0625,9.1875,8.625,8.625,7.931431293487549,579200,7.4625,6.80625,,,,,67.46143057503507,,,,,,,,,PEGA
1996-08-12,8.75,9.625,8.6875,9.625,8.851014137268066,365400,8.15,7.15625,,,,,72.16941958106487,,,,,,,,,PEGA
1996-08-13,9.5625,9.625,8.8125,8.8125,8.103850364685059,506000,8.6375,7.4375,,,,,64.05930051601278,,,,,,,89.58631500034075,93.54369703991456,PEGA
1996-08-14,8.9375,8.9375,8.75,8.875,8.161325454711914,92800,9.025,7.71875,,,,,64.3907959985191,,,,,,,87.61231403741346,90.9070056991519,PEGA
1996-08-15,8.875,9.1875,8.75,9.1875,8.448700904846191,89400,9.025,8.03125,6.928125,,,,66.07563166234873,,,,9.84072558839176,6.928125,4.01552441160824,83.78717742539159,86.99526882104858,PEGA
1996-08-16,9.1875,9.1875,9.0625,9.0625,8.333746910095215,23200,9.1125,8.2875,7.071875,,,,64.75579974318345,,,,10.105353562228519,7.071875,4.038396437771482,84.80521769786708,85.40156972022403,PEGA
1996-08-19,9.0,9.0625,8.75,8.75,8.046379089355469,29800,8.9375,8.54375,7.209375,,,,61.45110252451593,,,,10.28505454889647,7.209375,4.133695451103529,83.60655737704917,84.06631750010261,PEGA
1996-08-20,8.6875,8.6875,8.375,8.375,7.701537609100342,17800,8.85,8.74375,7.365625,,,,57.64910768947465,,,,10.343217095553047,7.365625,4.388032904446951,76.50273224043714,81.6381691051178,PEGA
1996-08-21,8.1875,8.1875,7.6875,7.875,7.241741180419922,197800,8.65,8.8375,7.509375,,,,52.945467914950896,,,,10.287153732638723,7.509375,4.731596267361278,65.60155598777438,75.23694853508688,PEGA
1996-08-22,7.9375,9.125,7.9375,9.125,8.39122200012207,116200,8.6375,8.83125,7.6875,,,,61.42020241571806,,,,10.399164617905393,7.6875,4.975835382094607,68.48992444991332,70.19807089270826,PEGA
1996-08-23,8.875,9.1875,8.875,9.0625,8.333746910095215,73000,8.6375,8.875,7.840625,,,,60.83027428676437,,,,10.499182820981137,7.840625,5.182067179018864,74.06174334140435,69.384407926364,PEGA
1996-08-26,8.75,8.875,8.3125,8.375,7.701537609100342,86800,8.5625,8.75,7.953125,,,,54.61606807161482,,,,10.499837034663523,7.953125,5.406412965336477,77.30233602875111,73.28466794002291,PEGA
1996-08-27,8.1875,8.25,8.0,8.125,7.47163724899292,57200,8.5125,8.68125,8.059375,,,,52.515180842057696,,,,10.443395697791866,8.059375,5.675354302208133,63.016621743036836,71.46023370439742,PEGA
1996-08-28,8.4375,9.125,8.4375,8.9375,8.218799591064453,119800,8.725,8.6875,8.203125,,,,58.149609325883844,,,,10.429695723669019,8.203125,5.976554276330981,56.54580761093238,65.62158846090675,PEGA
1996-08-29,8.9375,9.0,8.875,8.875,8.161325454711914,145600,8.675,8.65625,8.34375,,,,57.583584978282985,,,,10.356793404897166,8.34375,6.330706595102834,56.22119815668202,58.59454250355039,PEGA
1996-08-30,9.0,9.0625,8.6875,9.0625,8.333746910095215,129800,8.675,8.65625,8.471875,,,,58.87683005602139,,,,10.318525261283918,8.471875,6.625224738716082,65.59139784946235,59.45280120569223,PEGA
1996-09-03,8.8125,9.25,8.8125,9.0625,8.333746910095215,108600,8.8125,8.6875,8.615625,,,,58.87683005602139,,,,10.149754944789565,8.615625,7.081495055210434,73.41935483870968,65.07731694828466,PEGA
1996-09-04,9.25,9.25,9.0625,9.0625,8.333746910095215,58800,9.0,8.75625,8.75,,,,58.87683005602139,,,,9.897687893113797,8.75,7.6023121068862025,82.3225806451613,73.77777777777776,PEGA
1996-09-05,9.125,9.125,9.0625,9.125,8.39122200012207,150200,9.0375,8.88125,8.859375,,,,59.39228208480052,0.8693418164817999,1.1317732443751838,-0.2624314278933839,9.659643509626605,8.859375,8.059106490373395,89.33333333333333,81.6917562724014,PEGA
1996-09-06,9.0625,9.125,9.0625,9.125,8.39122200012207,3400,9.0875,8.88125,8.85625,,,,59.392282084800506,0.821674344120428,1.0697534643242326,-0.24807912020380463,9.651843332048534,8.85625,8.060656667951465,90.66666666666667,87.44086021505375,PEGA
1996-09-09,9.125,11.4375,9.0625,11.1875,10.287867546081543,711000,9.5125,9.09375,8.984375,,,,72.55710249591675,0.9394941382062996,1.043701599100646,-0.1042074608943464,10.266386968547875,8.984375,7.7023630314521245,92.44444444444446,90.8148148148148,PEGA
1996-09-10,11.125,11.3125,11.125,11.1875,10.287867546081543,221200,9.9375,9.375,9.0625,,,,72.55710249591675,1.0210966077811978,1.0391806008367563,-0.018083993055558523,10.646107432414992,9.0625,7.478892567585009,92.88888888888891,92.0,PEGA
1996-09-11,11.1875,11.25,11.0,11.0625,10.172922134399414,136200,10.3375,9.66875,9.175,,,,70.94056267658901,1.0634222280147387,1.0440289262723528,0.01939330174238596,10.976301612723422,9.175,7.37369838727658,91.984126984127,92.43915343915343,PEGA
1996-09-12,11.125,11.125,10.9375,10.9375,10.05797290802002,123000,10.7,9.86875,9.278125,,,,69.27834213416581,1.0744930446875713,1.0501217499553965,0.02437129473217481,11.228876057285389,9.278125,7.32737394271461,89.35786435786439,91.41029341029342,PEGA
1996-09-13,11.0,11.0,10.75,10.75,9.885549545288086,142800,11.025,10.05625,9.35625,,,,66.75176415426644,1.0559645615145765,1.0512903122672326,0.004674249247343942,11.408725639319517,9.35625,7.303774360680481,84.91341991341993,88.75180375180376,PEGA
1996-09-16,11.25,11.75,11.1875,11.625,10.690183639526367,357400,11.1125,10.3125,9.484375,,,,71.90174921521131,1.0992147292677625,1.0608751956673386,0.03833953360042397,11.755757769922322,9.484375,7.212992230077678,87.3737373737374,87.21500721500723,PEGA
1996-09-17,11.875,12.625,11.5625,11.5625,10.632709503173828,141200,11.1875,10.5625,9.625,,,,71.05512744248558,1.1155877697664955,1.07181771048717,0.043770059279325535,12.04076851126096,9.625,7.209231488739039,83.76451077943618,85.35055602219784,PEGA
1996-09-18,11.75,12.125,11.6875,11.875,10.920084953308105,269000,11.35,10.84375,9.8,,,,72.78088082000887,1.1406311744903856,1.0855804032878131,0.05505077120257251,12.33247655467922,9.8,7.267523445320782,84.0819710968965,85.07340641669002,PEGA
1996-09-19,12.125,12.5,12.0,12.5,11.494828224182129,64000,11.6625,11.18125,10.03125,,,,75.87848770980997,1.1971109796217476,1.1078865185546,0.08922446106714754,12.661156129503489,10.03125,7.401343870496511,84.13488114980653,83.99378767537972,PEGA
1996-09-20,12.5,12.5,12.0625,12.125,11.149980545043945,272800,11.9375,11.48125,10.18125,,,,70.68102918029324,1.1978047189170127,1.1258701586270825,0.07193456028993017,12.926956876197817,10.18125,7.4355431238021845,88.22100789313906,85.47928671328067,PEGA
1996-09-23,12.0625,12.125,11.875,11.9375,10.977561950683594,53400,12.0,11.55625,10.325,,,,68.16682736677357,1.1697407856706565,1.1346442840357973,0.03509650163485922,13.121929119588133,10.325,7.528070880411866,88.1374657043337,86.83111824909308,PEGA
