Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2001-07-17,88000.0,98000.0,86400.0,96080.0,96080.0,76,,,,,,,,,,,,,,,,PRSO
2001-07-18,96640.0,104400.0,95200.0,102800.0,102800.0,37,,,,,,,,,,,,,,,,PRSO
2001-07-19,103600.0,108080.0,101280.0,104560.0,104560.0,12,,,,,,,,,,,,,,,,PRSO
2001-07-20,104400.0,111200.0,102400.0,106640.0,106640.0,12,,,,,,,,,,,,,,,,PRSO
2001-07-23,107200.0,112000.0,106240.0,111360.0,111360.0,8,104288.0,,,,,,,,,,,,,,,PRSO
2001-07-24,110400.0,110400.0,103600.0,104880.0,104880.0,28,106048.0,,,,,,,,,,,,,,,PRSO
2001-07-25,105760.0,111840.0,105360.0,108800.0,108800.0,9,107248.0,,,,,,,,,,,,,,,PRSO
2001-07-26,108880.0,110960.0,108400.0,108800.0,108800.0,9,108096.0,,,,,,,,,,,,,,,PRSO
2001-07-27,109440.0,109440.0,104960.0,106000.0,106000.0,6,107968.0,,,,,,,,,,,,,,,PRSO
2001-07-30,104640.0,106320.0,101920.0,104160.0,104160.0,18,106528.0,105408.0,,,,,,,,,,,,,,PRSO
2001-07-31,104160.0,109680.0,101840.0,107600.0,107600.0,22,107072.0,106560.0,,,,,,,,,,,,,,PRSO
2001-08-01,109600.0,117600.0,109200.0,112000.0,112000.0,39,107712.0,107480.0,,,,,,,,,,,,,,PRSO
2001-08-02,114320.0,118000.0,111600.0,116800.0,116800.0,14,109312.0,108704.0,,,,,,,,,,,,,,PRSO
2001-08-03,117920.0,127120.0,112000.0,119840.0,119840.0,22,112080.0,110024.0,,,,,,,,,,,,,,PRSO
2001-08-06,118800.0,119280.0,111920.0,114000.0,114000.0,5,114048.0,110288.0,,,,,67.28395061728395,,,,,,,,,PRSO
2001-08-07,114000.0,114320.0,107600.0,111040.0,111040.0,4,114736.0,110904.0,,,,,63.38626705435026,,,,,,,,,PRSO
2001-08-08,112000.0,113200.0,108480.0,110080.0,110080.0,4,114352.0,111032.0,,,,,62.12920959881279,,,,,,,,,PRSO
2001-08-09,108080.0,109280.0,101600.0,104800.0,104800.0,10,111952.0,110632.0,,,,,55.59836506125217,,,,,,,27.63500649821871,43.43978283892324,PRSO
2001-08-10,104800.0,105600.0,101600.0,105600.0,105600.0,2,109104.0,110592.0,,,,,56.34709875621413,,,,,,,20.26936761768712,30.33068888857389,PRSO
2001-08-13,102080.0,114240.0,102080.0,114240.0,114240.0,4,109152.0,111600.0,108504.0,,,,63.50478671209709,,,,119059.28379533208,108504.0,97948.71620466792,25.91431556948798,24.606229895131268,PRSO
2001-08-14,112800.0,116320.0,112800.0,115200.0,115200.0,4,109984.0,112360.0,109460.0,,,,64.20704896978853,,,,118725.7649441371,109460.0,100194.2350558629,39.49843260188087,28.56070526301865,PRSO
2001-08-15,114000.0,114400.0,110400.0,110400.0,110400.0,4,110048.0,112200.0,109840.0,,,,58.178904534998374,,,,118591.13706897566,109840.0,101088.86293102434,45.7680250783699,37.060257749912914,PRSO
2001-08-16,110400.0,114000.0,110000.0,114000.0,114000.0,2,111888.0,111920.0,110312.0,,,,61.126705994553575,,,,118889.68640135556,110312.0,101734.31359864444,45.45454545454546,43.57366771159874,PRSO
2001-08-17,114400.0,114400.0,111680.0,112480.0,112480.0,3,113264.0,111184.0,110604.0,,,,59.22843228479263,,,,119058.5239960627,110604.0,102149.4760039373,41.901776384535005,44.37478230581678,PRSO
2001-08-20,111280.0,112000.0,110800.0,112000.0,112000.0,2,112816.0,110984.0,110636.0,,,,58.609450565717424,,,,119106.55700647838,110636.0,102165.44299352162,43.99164054336469,43.78265412748171,PRSO
2001-08-21,110400.0,113920.0,110000.0,112000.0,112000.0,2,112176.0,111080.0,110992.0,,,,58.609450565717424,,,,119053.58694054713,110992.0,102930.41305945287,41.37931034482759,42.424242424242415,PRSO
2001-08-22,112000.0,112000.0,110000.0,111600.0,111600.0,2,112416.0,111232.0,111132.0,,,,58.023394936612796,,,,119133.48386238453,111132.0,103130.51613761547,40.22988505747127,41.86694531522118,PRSO
2001-08-23,111600.0,112000.0,110400.0,111200.0,111200.0,2,111856.0,111872.0,111252.0,,,,57.40522581923668,,,,119181.65472136083,111252.0,103322.34527863917,44.74531553639059,42.118170312896474,PRSO
2001-08-24,112320.0,112400.0,111040.0,111360.0,111360.0,7,111632.0,112448.0,111520.0,,,,57.59981406585567,,,,119074.98246192538,111520.0,103965.01753807462,53.262647779360016,46.07928279107395,PRSO
2001-08-27,111360.0,112400.0,105200.0,107040.0,107040.0,5,110640.0,111728.0,111664.0,,,,50.84577451705927,,,,118747.42967777615,111664.0,104580.57032222385,52.519837366384685,50.17593356071175,PRSO
